seq,time_seconds,event_type,robot_name,message,data_json
39,3.8,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (20.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 20.5, ""goal_y"": 16.5, ""score"": 12.3509}"
40,3.8,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 7.949}"
41,4.1,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (30.50, 12.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 30.5, ""goal_y"": 12.5, ""score"": 8.7109}"
42,4.1,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.106}"
43,4.2,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 1.425}"
44,4.45,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (11.50, 15.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 11.5, ""goal_y"": 15.5, ""score"": 8.9319}"
45,4.45,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 8.74}"
46,4.55,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (29.50, 12.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 29.5, ""goal_y"": 12.5, ""score"": 8.5761}"
47,4.55,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 7.288}"
48,4.6,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (29.50, 13.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 29.5, ""goal_y"": 13.5, ""score"": 8.5548}"
49,4.6,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.219}"
50,4.7,goal_reached,Drone 3,"Reached coverage-centroid at (18.50, 10.50)",
51,4.75,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (16.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 16.5, ""goal_y"": 17.5, ""score"": 13.2697}"
52,4.75,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.202}"
53,4.85,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (21.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 21.5, ""goal_y"": 17.5, ""score"": 12.7524}"
54,4.85,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.301}"
55,5.05,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 7.885}"
56,5.5,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (11.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 11.5, ""goal_y"": 16.5, ""score"": 7.9426}"
57,5.5,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 8.107}"
58,5.8,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.162}"
59,5.8,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 8.077}"
60,5.9,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 6.65}"
61,5.9,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (22.50, 18.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 22.5, ""goal_y"": 18.5, ""score"": 12.8433}"
62,5.9,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.328}"
63,6.0,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (23.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 23.5, ""goal_y"": 17.5, ""score"": 13.7243}"
64,6.0,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.225}"
65,6.05,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 6.625}"
66,6.1,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (23.50, 18.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 23.5, ""goal_y"": 18.5, ""score"": 13.1743}"
67,6.1,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.798}"
68,6.2,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (24.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 24.5, ""goal_y"": 17.5, ""score"": 14.1396}"
69,6.2,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.937}"
70,6.55,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (10.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 10.5, ""goal_y"": 16.5, ""score"": 7.4555}"
71,6.55,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.853}"
72,6.6,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (29.50, 15.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 29.5, ""goal_y"": 15.5, ""score"": 7.5101}"
73,6.6,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.072}"
74,6.85,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (16.50, 19.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 16.5, ""goal_y"": 19.5, ""score"": 10.2452}"
75,6.85,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.062}"
76,7.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (25.50, 18.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 25.5, ""goal_y"": 18.5, ""score"": 13.6355}"
77,7.25,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 9.17}"
78,7.35,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (30.50, 15.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 30.5, ""goal_y"": 15.5, ""score"": 7.6653}"
79,7.35,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 8.366}"
80,7.4,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.175}"
81,7.6,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (9.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 9.5, ""goal_y"": 16.5, ""score"": 6.4619}"
82,7.6,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.463}"
83,7.65,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.424}"
84,7.9,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (16.50, 20.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 16.5, ""goal_y"": 20.5, ""score"": 9.6894}"
85,7.9,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.003}"
86,8.35,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (30.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 30.5, ""goal_y"": 16.5, ""score"": 6.3506}"
87,8.35,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 7.584}"
88,8.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (25.50, 19.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 25.5, ""goal_y"": 19.5, ""score"": 14.0726}"
89,8.4,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.53}"
90,8.65,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (8.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 8.5, ""goal_y"": 17.5, ""score"": 5.554}"
91,8.65,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.876}"
92,8.9,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (16.50, 21.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 16.5, ""goal_y"": 21.5, ""score"": 9.9944}"
93,8.9,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.015}"
94,9.2,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (6.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 6.5, ""goal_y"": 16.5, ""score"": 7.2788}"
95,9.2,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 9.415}"
96,9.25,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (6.50, 15.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 6.5, ""goal_y"": 15.5, ""score"": 7.6679}"
97,9.25,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 9.105}"
98,9.35,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (32.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 32.5, ""goal_y"": 16.5, ""score"": 6.2472}"
99,9.35,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.56}"
100,9.4,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.485}"
101,9.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (20.50, 21.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 20.5, ""goal_y"": 21.5, ""score"": 13.2846}"
102,9.4,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.39}"
103,9.4,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (15.50, 21.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 15.5, ""goal_y"": 21.5, ""score"": 10.1499}"
104,9.4,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.749}"
105,9.45,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.692}"
106,9.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.581}"
107,9.75,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 7.896}"
108,10.4,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (33.50, 17.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 33.5, ""goal_y"": 17.5, ""score"": 5.6378}"
109,10.4,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.621}"
110,10.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (20.50, 23.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 20.5, ""goal_y"": 23.5, ""score"": 12.776}"
111,10.4,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 10.021}"
112,10.55,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (15.50, 23.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 15.5, ""goal_y"": 23.5, ""score"": 10.6718}"
113,10.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.497}"
114,10.75,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 7.08}"
115,10.85,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 8.156}"
116,11.05,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (5.50, 14.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 5.5, ""goal_y"": 14.5, ""score"": 5.0597}"
117,11.05,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 7.574}"
118,11.15,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (5.50, 15.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 5.5, ""goal_y"": 15.5, ""score"": 5.319}"
119,11.15,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 7.646}"
120,11.4,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.019}"
121,11.45,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (33.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 33.5, ""goal_y"": 16.5, ""score"": 5.3425}"
122,11.45,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 7.405}"
123,11.55,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (13.50, 23.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 13.5, ""goal_y"": 23.5, ""score"": 10.1025}"
124,11.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.166}"
125,11.65,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (33.50, 18.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 33.5, ""goal_y"": 18.5, ""score"": 5.2888}"
126,11.65,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 7.995}"
127,11.95,goal_assigned,Drone 4,"Assigned coverage-centroid goal at (6.50, 13.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 6.5, ""goal_y"": 13.5, ""score"": 5.4036}"
128,11.95,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 5.614}"
129,12.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (19.50, 24.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 19.5, ""goal_y"": 24.5, ""score"": 9.8047}"
130,12.4,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 7.814}"
131,12.55,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (13.50, 24.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 13.5, ""goal_y"": 24.5, ""score"": 9.8592}"
132,12.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.059}"
133,12.65,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (34.50, 16.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 34.5, ""goal_y"": 16.5, ""score"": 6.2331}"
134,12.65,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 7.258}"
135,12.8,goal_assigned,Drone 4,"Assigned coverage-centroid goal at (6.50, 12.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 6.5, ""goal_y"": 12.5, ""score"": 5.2596}"
136,12.8,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.918}"
137,13.2,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 6.709}"
138,13.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (20.50, 25.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 20.5, ""goal_y"": 25.5, ""score"": 9.0531}"
139,13.4,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.339}"
140,13.55,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (13.50, 25.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 13.5, ""goal_y"": 25.5, ""score"": 9.2179}"
141,13.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.987}"
142,13.8,goal_assigned,Drone 4,"Assigned coverage-centroid goal at (6.50, 10.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 6.5, ""goal_y"": 10.5, ""score"": 6.0116}"
143,13.8,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 5.336}"
144,13.85,goal_assigned,Drone 1,"Assigned coverage-centroid goal at (33.50, 18.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 33.5, ""goal_y"": 18.5, ""score"": 6.6923}"
145,13.85,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 5.903}"
146,13.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 5.138}"
147,13.95,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 5.803}"
148,13.95,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (20.50, 26.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 20.5, ""goal_y"": 26.5, ""score"": 8.9025}"
149,13.95,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.646}"
150,13.95,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (12.50, 25.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 12.5, ""goal_y"": 25.5, ""score"": 9.202}"
151,13.95,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.013}"
152,14.0,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (21.50, 25.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 21.5, ""goal_y"": 25.5, ""score"": 9.144}"
153,14.0,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.378}"
154,14.0,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.966}"
155,14.05,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.329}"
156,14.6,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 4.768}"
157,14.75,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (12.50, 26.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 12.5, ""goal_y"": 26.5, ""score"": 8.8165}"
158,14.75,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.125}"
159,14.9,goal_assigned,Drone 4,"Assigned coverage-centroid goal at (7.50, 8.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 7.5, ""goal_y"": 8.5, ""score"": 6.9051}"
160,14.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 5.967}"
161,14.95,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 4.418}"
162,15.05,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (21.50, 26.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 21.5, ""goal_y"": 26.5, ""score"": 8.179}"
163,15.05,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.045}"
164,15.35,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 5.19}"
165,15.4,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (22.50, 26.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 22.5, ""goal_y"": 26.5, ""score"": 8.4259}"
166,15.4,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.391}"
167,15.4,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (11.50, 26.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 11.5, ""goal_y"": 26.5, ""score"": 8.5069}"
168,15.4,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.002}"
169,15.9,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (7.50, 5.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 7.5, ""goal_y"": 5.5, ""score"": 6.2266}"
170,15.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.958}"
171,15.95,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 3.418}"
172,16.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (23.50, 27.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 23.5, ""goal_y"": 27.5, ""score"": 9.3094}"
173,16.25,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.582}"
174,16.4,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (10.50, 27.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 10.5, ""goal_y"": 27.5, ""score"": 7.8981}"
175,16.4,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.358}"
176,16.9,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (7.50, 4.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 7.5, ""goal_y"": 4.5, ""score"": 6.3449}"
177,16.9,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 7.838}"
178,16.95,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 2.418}"
179,17.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (22.50, 28.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 22.5, ""goal_y"": 28.5, ""score"": 8.4619}"
180,17.25,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.164}"
181,17.4,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (10.50, 28.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 10.5, ""goal_y"": 28.5, ""score"": 7.4447}"
182,17.4,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.207}"
183,17.9,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (10.50, 4.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 10.5, ""goal_y"": 4.5, ""score"": 6.6464}"
184,17.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 8.515}"
185,17.95,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 1.418}"
186,18.2,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (9.50, 28.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 9.5, ""goal_y"": 28.5, ""score"": 6.828}"
187,18.2,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.96}"
188,18.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (22.50, 29.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 22.5, ""goal_y"": 29.5, ""score"": 6.7444}"
189,18.25,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 8.493}"
190,18.75,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (9.50, 29.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 9.5, ""goal_y"": 29.5, ""score"": 6.5837}"
191,18.75,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.217}"
192,18.8,goal_reached,Drone 1,"Reached coverage-centroid at (33.50, 18.50)",
193,18.85,goal_assigned,Drone 1,"Assigned coverage-centroid goal at (34.50, 18.50)","{""goal_type"": ""coverage-centroid"", ""goal_x"": 34.5, ""goal_y"": 18.5, ""score"": 2.2845}"
194,18.85,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 1.504}"
195,18.9,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (11.50, 3.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 11.5, ""goal_y"": 3.5, ""score"": 7.1507}"
196,18.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 8.911}"
197,19.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (23.50, 30.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 23.5, ""goal_y"": 30.5, ""score"": 6.429}"
198,19.25,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 8.769}"
199,19.6,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (9.50, 30.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 9.5, ""goal_y"": 30.5, ""score"": 6.0249}"
200,19.6,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.169}"
201,19.8,goal_reached,Drone 1,"Reached coverage-centroid at (34.50, 18.50)",
202,19.85,goal_assigned,Drone 1,"Assigned coverage+frontier goal at (35.50, 19.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 35.5, ""goal_y"": 19.5, ""score"": 4.5413}"
203,19.85,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 4.939}"
204,19.9,goal_assigned,Drone 4,"Assigned coverage+frontier goal at (9.50, 2.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 9.5, ""goal_y"": 2.5, ""score"": 6.1828}"
205,19.9,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 7.383}"
206,20.0,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (8.50, 30.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 8.5, ""goal_y"": 30.5, ""score"": 5.7105}"
207,20.0,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.327}"
208,20.05,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (7.50, 29.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 7.5, ""goal_y"": 29.5, ""score"": 6.2879}"
209,20.05,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 8.15}"
210,20.1,replan,Drone 1,Replanned path with 4 points,"{""path_length"": 3.972}"
211,20.25,goal_assigned,Drone 2,"Assigned coverage+frontier goal at (24.50, 30.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 24.5, ""goal_y"": 30.5, ""score"": 8.1623}"
212,20.25,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.349}"
213,20.3,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.911}"
214,20.8,goal_assigned,Drone 3,"Assigned coverage+frontier goal at (8.50, 30.50)","{""goal_type"": ""coverage+frontier"", ""goal_x"": 8.5, ""goal_y"": 30.5, ""score"": 6.07}"
215,20.8,replan,Drone 3,Replanned path with 3 points,"{""path_length"": 7.965}"
