time_seconds,known_ratio,free_coverage_ratio,occupied_recall_ratio,known_cells,covered_free_cells,mapped_occupied_cells,frontier_count,active_goals,running,auto_finished,selected_robot,auto_policy,mission_mode
0.0,0.1075,0.015459,0.276106,172,16,156,1,0,0,0,Drone 1,weighted_coverage,manual_click
0.0,0.1075,0.015459,0.276106,172,16,156,1,0,0,0,Drone 1,weighted_coverage,auto_explore
0.55,0.208125,0.115942,0.325664,333,120,184,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.05,0.2125,0.118841,0.334513,340,123,189,2,4,1,0,Drone 1,weighted_coverage,auto_explore
1.55,0.2225,0.127536,0.343363,356,132,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.05,0.22625,0.132367,0.343363,362,137,194,2,4,1,0,Drone 1,weighted_coverage,auto_explore
2.6,0.240625,0.154589,0.345133,385,160,195,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.15,0.246875,0.163285,0.345133,395,169,195,2,4,1,0,Drone 1,weighted_coverage,auto_explore
3.7,0.2575,0.176812,0.345133,412,183,195,2,4,1,0,Drone 1,weighted_coverage,auto_explore
4.25,0.268125,0.188406,0.345133,429,195,195,2,4,1,0,Drone 1,weighted_coverage,auto_explore
4.8,0.276875,0.199034,0.348673,443,206,197,3,4,1,0,Drone 1,weighted_coverage,auto_explore
5.35,0.29125,0.216425,0.350442,466,224,198,4,4,1,0,Drone 1,weighted_coverage,auto_explore
5.9,0.3025,0.227053,0.352212,484,235,199,4,4,1,0,Drone 1,weighted_coverage,auto_explore
6.45,0.319375,0.241546,0.366372,511,250,207,5,4,1,0,Drone 1,weighted_coverage,auto_explore
7.0,0.333125,0.258937,0.371681,533,268,210,5,4,1,0,Drone 1,weighted_coverage,auto_explore
7.55,0.3475,0.269565,0.380531,556,279,215,4,4,1,0,Drone 1,weighted_coverage,auto_explore
8.1,0.36875,0.285024,0.410619,590,295,232,5,4,1,0,Drone 1,weighted_coverage,auto_explore
8.6,0.379375,0.297585,0.410619,607,308,232,4,4,1,0,Drone 1,weighted_coverage,auto_explore
9.1,0.388125,0.307246,0.412389,621,318,233,4,4,1,0,Drone 1,weighted_coverage,auto_explore
9.6,0.39875,0.315942,0.424779,638,327,240,5,4,1,0,Drone 1,weighted_coverage,auto_explore
10.1,0.4125,0.32657,0.442478,660,338,250,5,4,1,0,Drone 1,weighted_coverage,auto_explore
10.6,0.4225,0.340097,0.442478,676,352,250,5,4,1,0,Drone 1,weighted_coverage,auto_explore
11.1,0.430625,0.349758,0.446018,689,362,252,6,4,1,0,Drone 1,weighted_coverage,auto_explore
11.6,0.444375,0.366184,0.447788,711,379,253,6,4,1,0,Drone 1,weighted_coverage,auto_explore
12.1,0.46125,0.378744,0.470796,738,392,266,5,4,1,0,Drone 1,weighted_coverage,auto_explore
12.6,0.478125,0.392271,0.486726,765,406,275,5,4,1,0,Drone 1,weighted_coverage,auto_explore
